bairro;codbairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;Sexo masculino, Cor ou raça é branca;Sexo masculino, Cor ou raça é preta;Sexo masculino, Cor ou raça é amarela;Sexo masculino, Cor ou raça é parda;Sexo masculino, Cor ou raça é indígena;Sexo feminino, Cor ou raça é branca;Sexo feminino, Cor ou raça é preta;Sexo feminino, Cor ou raça é amarela;Sexo feminino, Cor ou raça é parda;Sexo feminino, Cor ou raça é  indígena
Saúde;1;1;PORTUARIA;1;I Portuária;Centro;1.1;Área de Planejamento 1;1;383;140;5;258;8;402;154;4;266;12
Gamboa;2;2;PORTUARIA;1;I Portuária;Centro;1.1;Área de Planejamento 1;1;1891;1209;4;2281;7;2174;1372;3;2456;0
Santo Cristo;3;3;PORTUARIA;1;I Portuária;Centro;1.1;Área de Planejamento 1;1;1736;1064;0;1837;5;2058;1194;0;2020;0
Caju;4;4;PORTUARIA;1;I Portuária;Centro;1.1;Área de Planejamento 1;1;3891;1558;10;5992;10;4738;1612;10;6195;9
Centro;5;5;CENTRO;2;II Centro;Centro;1.1;Área de Planejamento 1;1;5547;1722;17;3514;13;6568;1974;26;4002;30
Catumbi;6;6;RIO COMPRIDO;3;III Rio Comprido;Centro;1.1;Área de Planejamento 1;1;1930;1324;0;2304;0;2424;1523;0;2665;4
Rio Comprido;7;7;RIO COMPRIDO;3;III Rio Comprido;Centro;1.1;Área de Planejamento 1;1;7933;3146;19;6955;3;9893;3836;26;7918;23
Cidade Nova;8;8;RIO COMPRIDO;3;III Rio Comprido;Centro;1.1;Área de Planejamento 1;1;837;480;0;899;0;968;590;3;951;0
Estácio;9;9;RIO COMPRIDO;3;III Rio Comprido;Centro;1.1;Área de Planejamento 1;1;3809;2351;0;4261;19;4927;2706;4;5107;22
Imperial de São Cristóvão;10;10;SAO CRISTOVAO;7;VII São Cristóvão;Centro;1.1;Área de Planejamento 1;1;5462;2108;3;4454;4;6446;2364;10;4965;20
Mangueira;11;11;SAO CRISTOVAO;7;VII São Cristóvão;Centro;1.1;Área de Planejamento 1;1;2030;2461;0;3814;8;2472;3073;3;4476;13
Benfica;12;12;SAO CRISTOVAO;7;VII São Cristóvão;Centro;1.1;Área de Planejamento 1;1;3612;1681;0;4599;0;4134;1894;0;5002;3
Paquetá;13;13;PAQUETA;21;XXI Paquetá;Centro;1.1;Área de Planejamento 1;1;768;216;0;641;3;924;223;0;705;0
Santa Teresa;14;14;SANTA TEREZA;23;XXIII Santa Teresa;Centro;1.1;Área de Planejamento 1;1;7526;2772;14;6556;11;8665;2999;22;7464;26
Flamengo;15;15;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;13929;1002;83;3202;3;18962;1431;145;4087;3
Glória;16;16;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;2002;296;6;715;0;2760;393;11;899;3
Laranjeiras;17;17;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;13700;877;56;2806;3;17501;1132;87;3306;18
Catete;18;18;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;5792;920;39;3113;4;7439;1202;37;3641;15
Cosme Velho;19;19;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;1648;602;0;772;0;1866;647;4;838;3
Botafogo;20;20;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;25117;2277;118;6646;6;31706;2841;147;7710;10
Humaitá;21;21;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;4610;202;9;786;0;6134;276;10;965;0
Urca;22;22;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;1787;116;0;460;0;2229;125;3;475;0
Leme;23;23;COPACABANA;5;V Copacabana;Zona Sul;2.1;Área de Planejamento 2;2;3631;615;10;1262;0;4760;690;10;1438;6
Copacabana;24;24;COPACABANA;5;V Copacabana;Zona Sul;2.1;Área de Planejamento 2;2;39860;4209;112;11531;13;53412;4971;125;13952;22
Ipanema;25;25;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;13627;892;32;2256;4;16815;1029;41;2437;4
Leblon;26;26;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;14227;583;15;1774;3;18068;862;32;1940;4
Lagoa;27;27;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;7662;126;6;790;0;9043;126;21;795;0
Jardim Botânico;28;28;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;5740;339;0;996;0;7242;392;6;1090;4
Gávea;29;29;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;4969;290;0;994;3;6440;335;16;1076;0
Vidigal;30;30;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;2439;1630;0;3225;3;2720;1673;0;3397;0
São Conrado;31;31;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;3450;276;3;805;3;3980;329;3;851;5
Praça da Bandeira;32;32;TIJUCA;8;VIII Tijuca;Tijuca;2.2;Área de Planejamento 2;2;1948;316;34;842;6;2545;409;30;1056;0
Tijuca;33;33;TIJUCA;8;VIII Tijuca;Tijuca;2.2;Área de Planejamento 2;2;42020;6284;268;13274;6;55962;7861;290;15582;23
Alto da Boa Vista;34;34;TIJUCA;8;VIII Tijuca;Tijuca;2.2;Área de Planejamento 2;2;2231;824;3;1676;0;2523;892;4;1634;0
Maracanã;35;35;VILA ISABEL;9;IX Vila Isabel;Tijuca;2.2;Área de Planejamento 2;2;7529;670;34;2141;22;9575;921;45;2448;13
Vila Isabel;36;36;VILA ISABEL;9;IX Vila Isabel;Tijuca;2.2;Área de Planejamento 2;2;16832;3848;34;8104;18;22556;4640;48;9498;15
Andaraí;37;37;VILA ISABEL;9;IX Vila Isabel;Tijuca;2.2;Área de Planejamento 2;2;8919;2015;31;4346;4;11855;2289;18;4987;10
Grajaú;38;38;VILA ISABEL;9;IX Vila Isabel;Tijuca;2.2;Área de Planejamento 2;2;9965;1111;13;3347;11;13048;1439;23;3765;20
Manguinhos;39;39;RAMOS;10;X Ramos;Ramos;3.1;Área de Planejamento 3;3;4219;3027;11;6339;9;4724;3394;16;7077;12
Bonsucesso;40;40;RAMOS;10;X Ramos;Ramos;3.1;Área de Planejamento 3;3;3693;1074;4;2897;3;4665;1232;4;3251;3
Ramos;41;41;RAMOS;10;X Ramos;Ramos;3.1;Área de Planejamento 3;3;7529;2077;6;5963;0;9589;2558;5;6666;0
Olaria;42;42;RAMOS;10;X Ramos;Ramos;3.1;Área de Planejamento 3;3;10156;3616;7;9142;0;12945;4376;3;10896;6
Penha;43;43;PENHA;11;XI Penha;Penha;3.5;Área de Planejamento 3;3;11147;5706;4;9684;6;14015;6615;6;11248;4
Penha Circular;44;44;PENHA;11;XI Penha;Penha;3.5;Área de Planejamento 3;3;7329;3043;3;6327;0;9416;3333;6;7221;5
