bairro;codbairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;Total de Domicílios;Total de Domicílios Particulares;Total de Domicílios Coletivos;Total de Domicílios Particulares Ocupados
Saúde;1;1;PORTUARIA;1;I Portuária;Centro;1.1;Área de Planejamento 1;1;1001;988;13;801
Gamboa;2;2;PORTUARIA;1;I Portuária;Centro;1.1;Área de Planejamento 1;1;5551;5525;26;4691
Santo Cristo;3;3;PORTUARIA;1;I Portuária;Centro;1.1;Área de Planejamento 1;1;4987;4985;2;3955
Caju;4;4;PORTUARIA;1;I Portuária;Centro;1.1;Área de Planejamento 1;1;10773;10771;2;9784
Centro;5;5;CENTRO;2;II Centro;Centro;1.1;Área de Planejamento 1;1;18078;18016;62;12916
Catumbi;6;6;RIO COMPRIDO;3;III Rio Comprido;Centro;1.1;Área de Planejamento 1;1;5303;5299;4;4722
Rio Comprido;7;7;RIO COMPRIDO;3;III Rio Comprido;Centro;1.1;Área de Planejamento 1;1;18148;18141;7;16024
Cidade Nova;8;8;RIO COMPRIDO;3;III Rio Comprido;Centro;1.1;Área de Planejamento 1;1;2392;2391;1;1928
Estácio;9;9;RIO COMPRIDO;3;III Rio Comprido;Centro;1.1;Área de Planejamento 1;1;8894;8862;32;8155
Imperial de São Cristóvão;10;10;SAO CRISTOVAO;7;VII São Cristóvão;Centro;1.1;Área de Planejamento 1;1;12373;12369;4;10461
Mangueira;11;11;SAO CRISTOVAO;7;VII São Cristóvão;Centro;1.1;Área de Planejamento 1;1;7167;7167;0;6769
Benfica;12;12;SAO CRISTOVAO;7;VII São Cristóvão;Centro;1.1;Área de Planejamento 1;1;9322;9319;3;8251
Paquetá;13;13;PAQUETA;21;XXI Paquetá;Centro;1.1;Área de Planejamento 1;1;2641;2636;5;1544
Santa Teresa;14;14;SANTA TEREZA;23;XXIII Santa Teresa;Centro;1.1;Área de Planejamento 1;1;19716;19690;26;16220
Flamengo;15;15;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;26160;26144;16;21667
Glória;16;16;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;4970;4961;9;3823
Laranjeiras;17;17;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;20890;20882;8;18061
Catete;18;18;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;12832;12815;17;10759
Cosme Velho;19;19;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;2735;2731;4;2475
Botafogo;20;20;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;42692;42648;44;35637
Humaitá;21;21;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;7020;7014;6;6164
Urca;22;22;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;2627;2622;5;2146
Leme;23;23;COPACABANA;5;V Copacabana;Zona Sul;2.1;Área de Planejamento 2;2;7391;7383;8;5953
Copacabana;24;24;COPACABANA;5;V Copacabana;Zona Sul;2.1;Área de Planejamento 2;2;84715;84630;85;64131
Ipanema;25;25;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;23296;23276;20;17867
